fdc_id,description,protein,calories,sugar,sodium,portion_description,gram_weight
2706057,"Chicken wing, baked, broiled, or roasted, from raw",23.6,252,0,404,1 drummette,22
2706058,"Chicken wing, baked or broiled, from pre-cooked",23.42,257,0.6,579,Quantity not specified,70
2706058,"Chicken wing, baked or broiled, from pre-cooked",23.42,257,0.6,579,1 drummette,22
2706058,"Chicken wing, baked or broiled, from pre-cooked",23.42,257,0.6,579,"1 wing, any size",35
2706059,"Chicken wing, baked or broiled, from fast food / restaurant",23.08,264,0,478,Quantity not specified,70
2706059,"Chicken wing, baked or broiled, from fast food / restaurant",23.08,264,0,478,1 wing,35
2706059,"Chicken wing, baked or broiled, from fast food / restaurant",23.08,264,0,478,1 drummette,22
2706060,"Chicken wing, rotisserie",23.42,257,0.6,579,"1 wing, any size",35
2706060,"Chicken wing, rotisserie",23.42,257,0.6,579,Quantity not specified,70
2706060,"Chicken wing, rotisserie",23.42,257,0.6,579,1 drummette,22
2706061,"Chicken wing, stewed",22.6,247,0,374,1 drummette,22
2706061,"Chicken wing, stewed",22.6,247,0,374,"1 wing, any size",45
2706061,"Chicken wing, stewed",22.6,247,0,374,Quantity not specified,90
2706062,"Chicken wing, grilled without sauce",23.13,265,0,402,1 drummette,22
2706062,"Chicken wing, grilled without sauce",23.13,265,0,402,"1 wing, any size",35
2706062,"Chicken wing, grilled without sauce",23.13,265,0,402,Quantity not specified,70
2706063,"Chicken wing, grilled with sauce",19.03,250,5.94,568,1 drummette,22
2706063,"Chicken wing, grilled with sauce",19.03,250,5.94,568,Quantity not specified,110
2706063,"Chicken wing, grilled with sauce",19.03,250,5.94,568,"1 wing, any size",55
2706064,"Chicken wing, sauteed",23.13,265,0,402,1 drummette,22
2706064,"Chicken wing, sauteed",23.13,265,0,402,"1 wing, any size",35
2706064,"Chicken wing, sauteed",23.13,265,0,402,Quantity not specified,70
2706065,"Chicken wing, fried, coated, from raw",19.39,289,0.1,419,Quantity not specified,110
2706065,"Chicken wing, fried, coated, from raw",19.39,289,0.1,419,1 drummette,22
2706065,"Chicken wing, fried, coated, from raw",19.39,289,0.1,419,"1 wing, any size",55
2706066,"Chicken wing, fried, coated, from pre-cooked",18.62,294,0.12,461,1 drummette,22
2706066,"Chicken wing, fried, coated, from pre-cooked",18.62,294,0.12,461,Quantity not specified,110
2706066,"Chicken wing, fried, coated, from pre-cooked",18.62,294,0.12,461,"1 wing, any size",55
2706067,"Chicken wing, fried, coated, from fast food",17.77,323,0.1,843,1 drummette,22
2706067,"Chicken wing, fried, coated, from fast food",17.77,323,0.1,843,Quantity not specified,110
2706067,"Chicken wing, fried, coated, from fast food",17.77,323,0.1,843,"1 wing, any size",55
2706068,"Chicken wing, fried, coated, from restaurant",17.77,323,0.1,843,Quantity not specified,110
2706068,"Chicken wing, fried, coated, from restaurant",17.77,323,0.1,843,"1 wing, any size",55
2706068,"Chicken wing, fried, coated, from restaurant",17.77,323,0.1,843,1 drummette,22
2706069,"Chicken wing, baked, coated",21.42,260,0.07,417,"1 wing, any size",55
2706069,"Chicken wing, baked, coated",21.42,260,0.07,417,Quantity not specified,110
