fdc_id,description,protein,calories,sugar,sodium,portion_description,gram_weight
2706021,"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked",18.3,247,0.12,479,"1 cup, cooked, diced",135
2706021,"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked",18.3,247,0.12,479,1 medium drumstick,85
2706021,"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked",18.3,247,0.12,479,"1 oz, cooked",28.35
2706022,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",23.57,169,0,432,"1 cup, cooked, diced",135
2706022,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",23.57,169,0,432,"1 oz, cooked",28.35
2706022,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",23.57,169,0,432,1 small drumstick,40
2706022,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",23.57,169,0,432,1 large drumstick,65
2706022,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",23.57,169,0,432,Quantity not specified,50
2706022,"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",23.57,169,0,432,1 medium drumstick,50
2706023,"Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant",17.77,288,0.1,624,Quantity not specified,85
2706023,"Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant",17.77,288,0.1,624,"1 cup, cooked, diced",135
2706023,"Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant",17.77,288,0.1,624,1 drumstick,85
2706023,"Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant",17.77,288,0.1,624,"1 oz, cooked",28.35
2706024,"Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant",21.82,213,0.1,546,"1 oz, cooked",28.35
2706024,"Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant",21.82,213,0.1,546,"1 cup, cooked, diced",135
2706024,"Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant",21.82,213,0.1,546,Quantity not specified,50
2706024,"Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant",21.82,213,0.1,546,1 drumstick,50
2706025,"Chicken drumstick, baked, coated, skin / coating eaten",21.04,205,0.07,439,Quantity not specified,85
2706025,"Chicken drumstick, baked, coated, skin / coating eaten",21.04,205,0.07,439,"1 drumstick, NS as to size",85
2706025,"Chicken drumstick, baked, coated, skin / coating eaten",21.04,205,0.07,439,"1 oz, cooked",28.35
2706025,"Chicken drumstick, baked, coated, skin / coating eaten",21.04,205,0.07,439,1 medium drumstick,85
2706025,"Chicken drumstick, baked, coated, skin / coating eaten",21.04,205,0.07,439,"1 cup, cooked, diced",135
2706025,"Chicken drumstick, baked, coated, skin / coating eaten",21.04,205,0.07,439,1 large drumstick,110
2706025,"Chicken drumstick, baked, coated, skin / coating eaten",21.04,205,0.07,439,1 small drumstick,65
2706026,"Chicken drumstick, baked, coated, skin / coating not eaten",23.57,169,0,432,"1 cup, cooked, diced",135
2706026,"Chicken drumstick, baked, coated, skin / coating not eaten",23.57,169,0,432,"1 drumstick, NS as to size",50
2706026,"Chicken drumstick, baked, coated, skin / coating not eaten",23.57,169,0,432,1 large drumstick,65
2706026,"Chicken drumstick, baked, coated, skin / coating not eaten",23.57,169,0,432,"1 oz, cooked",28.35
2706026,"Chicken drumstick, baked, coated, skin / coating not eaten",23.57,169,0,432,1 medium drumstick,50
2706026,"Chicken drumstick, baked, coated, skin / coating not eaten",23.57,169,0,432,1 small drumstick,40
2706026,"Chicken drumstick, baked, coated, skin / coating not eaten",23.57,169,0,432,Quantity not specified,50
2706027,"Chicken thigh, NS as to cooking method, skin eaten",22.51,226,0.12,335,"1 cup, cooked, diced",135
2706027,"Chicken thigh, NS as to cooking method, skin eaten",22.51,226,0.12,335,"1 oz, cooked",28.35
2706027,"Chicken thigh, NS as to cooking method, skin eaten",22.51,226,0.12,335,Quantity not specified,80
2706027,"Chicken thigh, NS as to cooking method, skin eaten",22.51,226,0.12,335,1 thigh,80
2706028,"Chicken thigh, NS as to cooking method, skin not eaten",24.09,193,0,335,"1 oz, cooked",28.35
2706028,"Chicken thigh, NS as to cooking method, skin not eaten",24.09,193,0,335,1 thigh,70
2706028,"Chicken thigh, NS as to cooking method, skin not eaten",24.09,193,0,335,"1 cup, cooked, diced",135
2706028,"Chicken thigh, NS as to cooking method, skin not eaten",24.09,193,0,335,Quantity not specified,70
2706029,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",23.12,231,0,332,1 large thigh,105
2706029,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",23.12,231,0,332,Quantity not specified,80
2706029,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",23.12,231,0,332,1 small thigh,75
2706029,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",23.12,231,0,332,"1 oz, cooked",28.35
2706029,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",23.12,231,0,332,1 medium thigh,80
2706029,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",23.12,231,0,332,"1 cup, cooked, diced",135
2706030,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",24.61,178,0,336,1 large thigh,90
2706030,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",24.61,178,0,336,"1 oz, cooked",28.35
2706030,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",24.61,178,0,336,1 medium thigh,70
2706030,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",24.61,178,0,336,Quantity not specified,70
2706030,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",24.61,178,0,336,"1 cup, cooked, diced",135
2706030,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",24.61,178,0,336,1 small thigh,65
2706031,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",22.51,226,0.12,335,Quantity not specified,80
2706031,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",22.51,226,0.12,335,"1 cup, cooked, diced",135
2706031,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",22.51,226,0.12,335,1 small thigh,75
2706031,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",22.51,226,0.12,335,1 large thigh,105
2706031,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",22.51,226,0.12,335,1 medium thigh,80
2706031,"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",22.51,226,0.12,335,"1 oz, cooked",28.35
2706032,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",24.09,193,0,335,"1 cup, cooked, diced",135
2706032,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",24.09,193,0,335,1 small thigh,65
2706032,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",24.09,193,0,335,1 large thigh,90
2706032,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",24.09,193,0,335,1 medium thigh,70
2706032,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",24.09,193,0,335,"1 oz, cooked",28.35
2706032,"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",24.09,193,0,335,Quantity not specified,70
2706033,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant",22.57,243,0,482,1 thigh,80
2706033,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant",22.57,243,0,482,"1 cup, cooked, diced",135
2706033,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant",22.57,243,0,482,Quantity not specified,80
2706033,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant",22.57,243,0,482,"1 oz, cooked",28.35
2706034,"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant",24.02,192,0,486,1 thigh,70
2706034,"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant",24.02,192,0,486,"1 cup, cooked, diced",135
2706034,"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant",24.02,192,0,486,"1 oz, cooked",28.35
2706034,"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant",24.02,192,0,486,Quantity not specified,70
2706035,"Chicken thigh, rotisserie, skin eaten",22.51,226,0.12,335,1 thigh,80
2706035,"Chicken thigh, rotisserie, skin eaten",22.51,226,0.12,335,Quantity not specified,80
2706035,"Chicken thigh, rotisserie, skin eaten",22.51,226,0.12,335,"1 cup, cooked, diced",135
2706035,"Chicken thigh, rotisserie, skin eaten",22.51,226,0.12,335,"1 oz, cooked",28.35
2706036,"Chicken thigh, rotisserie, skin not eaten",24.09,193,0,335,1 thigh,70
2706036,"Chicken thigh, rotisserie, skin not eaten",24.09,193,0,335,Quantity not specified,70
2706036,"Chicken thigh, rotisserie, skin not eaten",24.09,193,0,335,"1 cup, cooked, diced",135
